,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,energy_group,Week,24Hour
6144,4,2020-06-02 00:00:00,359.856,19.9,1.4,40.0,0.0,0.0,1,1,24,1,2,0
6145,4,2020-06-02 01:00:00,357.264,18.5,2.0,47.0,0.0,0.0,1,1,25,1,2,1
6146,4,2020-06-02 02:00:00,352.51199999999994,18.1,1.5,49.0,0.0,0.0,1,1,26,1,2,2
6147,4,2020-06-02 03:00:00,257.472,16.6,1.2,56.0,0.0,0.0,1,1,27,1,2,3
6148,4,2020-06-02 04:00:00,209.52,16.1,1.4,58.0,0.0,0.0,1,1,28,1,2,4
6149,4,2020-06-02 05:00:00,205.2,16.0,1.0,61.0,0.0,0.0,1,1,29,1,2,5
6150,4,2020-06-02 06:00:00,196.56,15.8,0.9,60.0,0.0,0.4,1,1,30,1,2,6
6151,4,2020-06-02 07:00:00,179.28,18.6,0.6,50.0,0.0,1.0,1,1,31,1,2,7
6152,4,2020-06-02 08:00:00,173.232,19.8,1.2,47.0,0.0,0.9,1,1,32,1,2,8
6153,4,2020-06-02 09:00:00,493.776,21.9,1.9,40.0,0.0,1.0,1,1,33,1,2,9
6154,4,2020-06-02 10:00:00,587.52,24.6,1.1,32.0,0.0,1.0,1,1,34,1,2,10
6155,4,2020-06-02 11:00:00,616.464,25.7,1.9,29.0,0.0,1.0,1,1,35,1,2,11
6156,4,2020-06-02 12:00:00,636.336,28.2,2.5,27.0,0.0,1.0,1,1,36,1,2,12
6157,4,2020-06-02 13:00:00,864.0,28.1,2.6,28.0,0.0,0.4,1,1,37,1,2,13
6158,4,2020-06-02 14:00:00,964.224,28.3,3.9,24.0,0.0,0.3,1,1,38,1,2,14
6159,4,2020-06-02 15:00:00,750.816,26.5,4.1,27.0,0.0,0.1,1,1,39,1,2,15
6160,4,2020-06-02 16:00:00,914.112,25.9,0.5,31.0,0.0,0.0,1,1,40,1,2,16
6161,4,2020-06-02 17:00:00,874.368,26.5,1.0,29.0,0.0,0.1,1,1,41,1,2,17
6162,4,2020-06-02 18:00:00,547.776,26.7,0.8,30.0,0.0,0.1,1,1,42,1,2,18
6163,4,2020-06-02 19:00:00,495.504,25.9,0.0,31.0,0.0,0.1,1,1,43,1,2,19
6164,4,2020-06-02 20:00:00,491.616,24.1,1.1,39.0,0.0,0.0,1,1,44,1,2,20
6165,4,2020-06-02 21:00:00,422.064,22.7,0.2,46.0,0.0,0.0,1,1,45,1,2,21
6166,4,2020-06-02 22:00:00,325.296,21.9,0.8,46.0,0.0,0.0,1,1,46,1,2,22
6167,4,2020-06-02 23:00:00,333.07199999999995,21.6,0.2,47.0,0.0,0.0,1,1,47,1,2,23
6168,4,2020-06-03 00:00:00,347.76,21.2,0.9,49.0,0.0,0.0,1,1,48,1,3,0
6169,4,2020-06-03 01:00:00,343.0080000000001,20.1,0.6,52.0,0.0,0.0,1,1,49,1,3,1
6170,4,2020-06-03 02:00:00,324.0,19.7,1.4,55.0,0.0,0.0,1,1,50,1,3,2
6171,4,2020-06-03 03:00:00,199.584,19.3,1.5,56.0,0.0,0.0,1,1,51,1,3,3
6172,4,2020-06-03 04:00:00,199.584,19.0,1.3,58.0,0.0,0.0,1,1,52,1,3,4
6173,4,2020-06-03 05:00:00,201.312,17.9,0.0,65.0,0.0,0.0,1,1,53,1,3,5
6174,4,2020-06-03 06:00:00,240.624,17.8,0.6,70.0,0.0,0.0,1,1,54,1,3,6
6175,4,2020-06-03 07:00:00,177.12,19.1,0.5,60.0,0.0,0.0,1,1,55,1,3,7
6176,4,2020-06-03 08:00:00,298.512,21.2,0.6,57.0,0.0,0.0,1,1,56,1,3,8
6177,4,2020-06-03 09:00:00,509.328,21.8,1.5,53.0,0.0,0.0,1,1,57,1,3,9
6178,4,2020-06-03 10:00:00,623.376,24.2,1.4,49.0,0.0,0.0,1,1,58,1,3,10
6179,4,2020-06-03 11:00:00,671.328,24.9,1.0,49.0,0.0,0.1,1,1,59,1,3,11
6180,4,2020-06-03 12:00:00,681.696,26.5,2.1,49.0,0.0,1.0,1,1,60,1,3,12
6181,4,2020-06-03 13:00:00,638.064,28.4,1.6,46.0,0.0,1.0,1,1,61,1,3,13
6182,4,2020-06-03 14:00:00,721.44,28.7,2.6,45.0,0.0,1.0,1,1,62,1,3,14
6183,4,2020-06-03 15:00:00,932.688,29.3,2.2,43.0,0.0,1.0,1,1,63,1,3,15
6184,4,2020-06-03 16:00:00,948.672,30.2,3.0,41.0,0.0,0.9,1,1,64,1,3,16
6185,4,2020-06-03 17:00:00,868.752,30.5,2.3,41.0,0.0,0.9,1,1,65,1,3,17
6186,4,2020-06-03 18:00:00,537.84,29.8,2.0,42.0,0.0,0.6,1,1,66,1,3,18
6187,4,2020-06-03 19:00:00,535.248,28.4,2.5,50.0,0.0,0.8,1,1,67,1,3,19
6188,4,2020-06-03 20:00:00,406.944,26.9,2.0,55.0,0.0,0.0,1,1,68,1,3,20
6189,4,2020-06-03 21:00:00,353.80800000000005,25.2,1.6,62.0,0.0,0.0,1,1,69,1,3,21
6190,4,2020-06-03 22:00:00,421.632,25.1,2.6,64.0,0.0,0.0,1,1,70,1,3,22
6191,4,2020-06-03 23:00:00,381.024,24.1,2.5,69.0,0.0,0.0,1,1,71,1,3,23
6192,4,2020-06-04 00:00:00,347.76,22.8,2.1,77.0,0.0,0.0,1,1,72,1,4,0
6193,4,2020-06-04 01:00:00,339.9840000000001,21.8,2.2,82.0,0.0,0.0,1,1,73,1,4,1
6194,4,2020-06-04 02:00:00,282.528,21.2,1.3,87.0,0.0,0.0,1,1,74,1,4,2
6195,4,2020-06-04 03:00:00,197.856,20.9,1.3,88.0,0.0,0.0,1,1,75,1,4,3
6196,4,2020-06-04 04:00:00,197.424,21.0,1.4,88.0,0.0,0.0,1,1,76,1,4,4
6197,4,2020-06-04 05:00:00,237.6,20.8,1.8,89.0,0.0,0.0,1,1,77,1,4,5
6198,4,2020-06-04 06:00:00,177.55200000000005,20.0,0.7,92.0,0.0,0.0,1,1,78,1,4,6
6199,4,2020-06-04 07:00:00,195.264,21.6,0.9,84.0,0.0,0.8,1,1,79,1,4,7
6200,4,2020-06-04 08:00:00,357.264,23.4,1.3,77.0,0.0,1.0,1,1,80,1,4,8
6201,4,2020-06-04 09:00:00,603.936,26.3,1.9,65.0,0.0,1.0,1,1,81,1,4,9
6202,4,2020-06-04 10:00:00,692.064,27.0,2.4,57.0,0.0,1.0,1,1,82,1,4,10
6203,4,2020-06-04 11:00:00,674.352,28.6,3.3,50.0,0.0,1.0,1,1,83,1,4,11
6204,4,2020-06-04 12:00:00,634.1759999999998,30.4,3.3,41.0,0.0,1.0,1,1,84,1,4,12
6205,4,2020-06-04 13:00:00,836.784,32.1,2.7,35.0,0.0,1.0,1,1,85,1,4,13
6206,4,2020-06-04 14:00:00,806.544,33.9,2.4,35.0,0.0,1.0,1,1,86,1,4,14
6207,4,2020-06-04 15:00:00,858.816,33.8,2.1,34.0,0.0,1.0,1,1,87,1,4,15
6208,4,2020-06-04 16:00:00,814.752,34.5,2.1,35.0,0.0,1.0,1,1,88,1,4,16
6209,4,2020-06-04 17:00:00,894.24,35.0,2.4,33.0,0.0,1.0,1,1,89,1,4,17
6210,4,2020-06-04 18:00:00,657.5039999999998,33.7,3.3,37.0,0.0,0.9,1,1,90,1,4,18
6211,4,2020-06-04 19:00:00,537.84,32.5,2.8,39.0,0.0,0.4,1,1,91,1,4,19
6212,4,2020-06-04 20:00:00,456.624,31.3,3.4,38.0,0.0,0.0,1,1,92,1,4,20
6213,4,2020-06-04 21:00:00,462.672,29.6,2.2,38.0,0.0,0.0,1,1,93,1,4,21
6214,4,2020-06-04 22:00:00,349.92,28.8,1.3,40.0,0.0,0.0,1,1,94,1,4,22
6215,4,2020-06-04 23:00:00,462.672,27.4,1.5,45.0,0.0,0.0,1,1,95,1,4,23
6216,4,2020-06-05 00:00:00,360.72,27.0,2.4,57.0,0.0,0.0,1,1,96,1,5,0
6217,4,2020-06-05 01:00:00,345.168,24.6,0.3,62.0,0.0,0.0,1,1,97,1,5,1
6218,4,2020-06-05 02:00:00,345.6,24.1,1.9,65.0,0.0,0.0,1,1,98,1,5,2
6219,4,2020-06-05 03:00:00,231.12,24.5,2.9,71.0,0.0,0.0,1,1,99,1,5,3
6220,4,2020-06-05 04:00:00,195.696,24.2,2.1,66.0,0.0,0.0,1,1,100,1,5,4
6221,4,2020-06-05 05:00:00,203.04,21.6,1.3,82.0,0.0,0.0,1,1,101,1,5,5
6222,4,2020-06-05 06:00:00,239.76,21.9,1.1,84.0,0.0,0.0,1,1,102,1,5,6
6223,4,2020-06-05 07:00:00,155.52,23.0,1.9,78.0,0.0,0.6,1,1,103,1,5,7
6224,4,2020-06-05 08:00:00,397.44,25.3,1.0,65.0,0.0,1.0,1,1,104,1,5,8
6225,4,2020-06-05 09:00:00,615.168,27.5,1.1,57.0,0.0,1.0,1,1,105,1,5,9
6226,4,2020-06-05 10:00:00,827.712,28.5,1.8,52.0,0.0,1.0,1,1,106,1,5,10
6227,4,2020-06-05 11:00:00,768.96,29.9,1.9,48.0,0.0,1.0,1,1,107,1,5,11
6228,4,2020-06-05 12:00:00,660.528,31.5,1.5,41.0,0.0,1.0,1,1,108,1,5,12
6229,4,2020-06-05 13:00:00,720.576,32.6,3.1,38.0,0.0,1.0,1,1,109,1,5,13
6230,4,2020-06-05 14:00:00,875.232,32.9,2.1,38.0,0.0,0.6,1,1,110,1,5,14
6231,4,2020-06-05 15:00:00,884.7360000000001,33.4,2.2,36.0,0.0,0.9,1,1,111,1,5,15
6232,4,2020-06-05 16:00:00,846.72,33.7,2.4,36.0,0.0,0.8,1,1,112,1,5,16
6233,4,2020-06-05 17:00:00,838.512,29.1,5.0,48.0,0.0,0.3,1,1,113,1,5,17
6234,4,2020-06-05 18:00:00,579.744,27.3,4.6,53.0,0.0,0.0,1,1,114,1,5,18
6235,4,2020-06-05 19:00:00,605.664,25.2,4.6,58.0,0.0,0.0,1,1,115,1,5,19
6236,4,2020-06-05 20:00:00,511.48800000000006,22.6,4.9,66.0,0.0,0.0,1,1,116,1,5,20
6237,4,2020-06-05 21:00:00,297.216,21.6,4.7,69.0,0.0,0.0,1,1,117,1,5,21
6238,4,2020-06-05 22:00:00,307.584,21.2,5.5,69.0,0.0,0.0,1,1,118,1,5,22
6239,4,2020-06-05 23:00:00,484.272,20.8,4.5,71.0,0.0,0.0,1,1,119,1,5,23
6240,4,2020-06-06 00:00:00,415.584,19.8,4.3,77.0,0.0,0.0,1,1,120,1,6,0
6241,4,2020-06-06 01:00:00,352.51199999999994,19.6,4.7,79.0,0.0,0.0,1,1,121,1,6,1
6242,4,2020-06-06 02:00:00,350.784,19.3,4.6,80.0,0.0,0.0,1,1,122,1,6,2
6243,4,2020-06-06 03:00:00,210.816,19.1,4.7,81.0,0.0,0.0,1,1,123,1,6,3
6244,4,2020-06-06 04:00:00,206.064,18.9,3.7,82.0,0.0,0.0,1,1,124,1,6,4
6245,4,2020-06-06 05:00:00,207.792,18.8,3.1,82.0,0.0,0.0,1,1,125,1,6,5
6246,4,2020-06-06 06:00:00,215.568,18.8,3.2,83.0,0.0,0.0,1,1,126,1,6,6
6247,4,2020-06-06 07:00:00,313.2,19.3,4.6,80.0,0.0,0.0,1,1,127,1,6,7
6248,4,2020-06-06 08:00:00,367.632,19.6,5.2,78.0,0.0,0.0,1,1,128,1,6,8
6249,4,2020-06-06 09:00:00,556.4159999999998,20.0,4.9,75.0,0.0,0.0,1,1,129,1,6,9
6250,4,2020-06-06 10:00:00,619.92,21.0,5.1,72.0,0.0,0.0,1,1,130,1,6,10
6251,4,2020-06-06 11:00:00,842.4,21.6,5.0,69.0,0.0,0.5,1,1,131,1,6,11
6252,4,2020-06-06 12:00:00,772.8480000000002,23.6,4.1,62.0,0.0,0.8,1,1,132,1,6,12
6253,4,2020-06-06 13:00:00,825.9839999999998,24.7,5.1,59.0,0.0,1.0,1,1,133,1,6,13
6254,4,2020-06-06 14:00:00,898.56,24.8,4.7,57.0,0.0,1.0,1,1,134,1,6,14
6255,4,2020-06-06 15:00:00,930.96,25.4,5.4,52.0,0.0,1.0,1,1,135,1,6,15
6256,4,2020-06-06 16:00:00,1011.312,24.3,5.5,57.0,0.0,0.6,1,1,136,1,6,16
6257,4,2020-06-06 17:00:00,915.408,23.5,5.4,58.0,0.0,0.0,1,1,137,1,6,17
6258,4,2020-06-06 18:00:00,789.2639999999999,23.1,4.6,54.0,0.0,0.0,1,1,138,1,6,18
6259,4,2020-06-06 19:00:00,507.168,22.6,4.5,49.0,0.0,0.2,1,1,139,1,6,19
6260,4,2020-06-06 20:00:00,466.56,21.7,4.9,49.0,0.0,0.0,1,1,140,1,6,20
6261,4,2020-06-06 21:00:00,398.304,20.8,4.3,51.0,0.0,0.0,1,1,141,1,6,21
6262,4,2020-06-06 22:00:00,244.944,20.0,2.8,56.0,0.0,0.0,1,1,142,1,6,22
6263,4,2020-06-06 23:00:00,357.264,19.3,2.3,61.0,0.0,0.0,1,1,143,1,6,23
6264,4,2020-06-07 00:00:00,352.944,18.4,3.0,69.0,0.0,0.0,1,1,144,1,0,0
6265,4,2020-06-07 01:00:00,336.96,17.7,2.3,76.0,0.0,0.0,1,1,145,1,0,1
6266,4,2020-06-07 02:00:00,240.192,17.1,2.8,81.0,0.0,0.0,1,1,146,1,0,2
6267,4,2020-06-07 03:00:00,247.5303529,16.5,2.1,87.0,0.0,0.0,1,1,147,1,0,3
6268,4,2020-06-07 04:00:00,193.536,16.6,3.0,82.0,0.0,0.0,1,1,148,1,0,4
6269,4,2020-06-07 05:00:00,243.648,16.5,2.7,83.0,0.0,0.0,1,1,149,1,0,5
6270,4,2020-06-07 06:00:00,198.72,16.4,3.1,79.0,0.0,0.0,1,1,150,1,0,6
6271,4,2020-06-07 07:00:00,163.296,16.8,2.8,78.0,0.0,0.0,1,1,151,1,0,7
6272,4,2020-06-07 08:00:00,193.536,18.8,2.2,71.0,0.0,0.4,1,1,152,1,0,8
6273,4,2020-06-07 09:00:00,629.856,21.2,1.5,63.0,0.0,1.0,1,1,153,1,0,9
6274,4,2020-06-07 10:00:00,671.328,23.8,1.8,50.0,0.0,1.0,1,1,154,1,0,10
6275,4,2020-06-07 11:00:00,750.3839999999999,26.3,1.4,39.0,0.0,1.0,1,1,155,1,0,11
6276,4,2020-06-07 12:00:00,663.12,27.8,1.4,34.0,0.0,1.0,1,1,156,1,0,12
6277,4,2020-06-07 13:00:00,668.7360000000001,29.0,2.3,37.0,0.0,1.0,1,1,157,1,0,13
6278,4,2020-06-07 14:00:00,872.64,30.3,1.3,36.0,0.0,1.0,1,1,158,1,0,14
6279,4,2020-06-07 15:00:00,930.96,30.2,2.5,36.0,0.0,1.0,1,1,159,1,0,15
6280,4,2020-06-07 16:00:00,943.056,30.9,2.3,34.0,0.0,1.0,1,1,160,1,0,16
6281,4,2020-06-07 17:00:00,953.424,31.1,2.1,34.0,0.0,1.0,1,1,161,1,0,17
6282,4,2020-06-07 18:00:00,630.72,29.6,4.3,38.0,0.0,1.0,1,1,162,1,0,18
6283,4,2020-06-07 19:00:00,493.344,28.2,2.4,43.0,0.0,0.2,1,1,163,1,0,19
6284,4,2020-06-07 20:00:00,548.64,26.4,2.3,45.0,0.0,0.0,1,1,164,1,0,20
6285,4,2020-06-07 21:00:00,427.68,24.8,2.6,45.0,0.0,0.0,1,1,165,1,0,21
6286,4,2020-06-07 22:00:00,349.92,23.4,2.1,46.0,0.0,0.0,1,1,166,1,0,22
6287,4,2020-06-07 23:00:00,425.952,22.4,2.5,46.0,0.0,0.0,1,1,167,1,0,23
6288,4,2020-06-08 00:00:00,487.296,21.3,1.2,49.0,0.0,0.0,1,1,168,1,1,0
6289,4,2020-06-08 01:00:00,362.016,20.6,1.2,52.0,0.0,0.0,1,1,169,1,1,1
6290,4,2020-06-08 02:00:00,264.384,19.6,1.1,57.0,0.0,0.0,1,1,170,1,1,2
6291,4,2020-06-08 03:00:00,215.136,19.7,0.4,59.0,0.0,0.0,1,1,171,1,1,3
6292,4,2020-06-08 04:00:00,215.136,18.6,0.6,65.0,0.0,0.0,1,1,172,1,1,4
6293,4,2020-06-08 05:00:00,214.272,17.7,1.8,72.0,0.0,0.0,1,1,173,1,1,5
6294,4,2020-06-08 06:00:00,216.864,17.9,1.6,69.0,0.0,0.0,1,1,174,1,1,6
6295,4,2020-06-08 07:00:00,268.272,19.9,1.4,61.0,0.0,1.0,1,1,175,1,1,7
6296,4,2020-06-08 08:00:00,407.8080000000001,22.9,1.0,52.0,0.0,1.0,1,1,176,1,1,8
6297,4,2020-06-08 09:00:00,552.96,25.1,1.3,45.0,0.0,1.0,1,1,177,1,1,9
6298,4,2020-06-08 10:00:00,555.552,27.2,1.4,44.0,0.0,1.0,1,1,178,1,1,10
6299,4,2020-06-08 11:00:00,795.7439999999998,29.3,1.8,42.0,0.0,1.0,1,1,179,1,1,11
6300,4,2020-06-08 12:00:00,676.08,30.9,1.7,41.0,0.0,1.0,1,1,180,1,1,12
6301,4,2020-06-08 13:00:00,803.52,32.0,2.1,37.0,0.0,1.0,1,1,181,1,1,13
6302,4,2020-06-08 14:00:00,906.336,32.9,2.2,35.0,0.0,1.0,1,1,182,1,1,14
6303,4,2020-06-08 15:00:00,1005.264,34.6,1.5,32.0,0.0,1.0,1,1,183,1,1,15
6304,4,2020-06-08 16:00:00,916.272,34.5,3.3,34.0,0.0,1.0,1,1,184,1,1,16
6305,4,2020-06-08 17:00:00,879.12,34.6,3.0,32.0,0.0,1.0,1,1,185,1,1,17
6306,4,2020-06-08 18:00:00,493.344,34.1,2.4,32.0,0.0,1.0,1,1,186,1,1,18
6307,4,2020-06-08 19:00:00,606.096,31.2,2.8,37.0,0.0,0.9,1,1,187,1,1,19
6308,4,2020-06-08 20:00:00,527.904,29.4,1.4,39.0,0.0,0.0,1,1,188,1,1,20
6309,4,2020-06-08 21:00:00,442.8,28.5,1.5,40.0,0.0,0.0,1,1,189,1,1,21
6310,4,2020-06-08 22:00:00,354.24,27.2,0.7,43.0,0.0,0.0,1,1,190,1,1,22
6311,4,2020-06-08 23:00:00,396.576,25.9,0.2,51.0,0.0,0.0,1,1,191,1,1,23
6312,4,2020-06-09 00:00:00,373.2480000000001,24.6,0.6,55.0,0.0,0.0,1,1,192,1,2,0
6313,4,2020-06-09 01:00:00,336.96,24.6,0.7,54.0,0.0,0.0,1,1,193,1,2,1
6314,4,2020-06-09 02:00:00,336.96,23.6,1.0,56.0,0.0,0.0,1,1,194,1,2,2
6315,4,2020-06-09 03:00:00,225.936,22.6,0.2,62.0,0.0,0.0,1,1,195,1,2,3
6316,4,2020-06-09 04:00:00,194.832,21.7,1.0,65.0,0.0,0.0,1,1,196,1,2,4
6317,4,2020-06-09 05:00:00,192.24,21.2,0.8,65.0,0.0,0.0,1,1,197,1,2,5
6318,4,2020-06-09 06:00:00,163.296,21.9,0.0,64.0,0.0,0.1,1,1,198,1,2,6
6319,4,2020-06-09 07:00:00,152.928,23.4,0.9,58.0,0.0,1.0,1,1,199,1,2,7
6320,4,2020-06-09 08:00:00,388.968,25.8,1.7,49.0,0.0,1.0,1,1,200,1,2,8
6321,4,2020-06-09 09:00:00,551.664,27.6,2.0,41.0,0.0,1.0,1,1,201,1,2,9
6322,4,2020-06-09 10:00:00,661.824,29.7,2.3,41.0,0.0,1.0,1,1,202,1,2,10
6323,4,2020-06-09 11:00:00,613.008,31.6,1.4,41.0,0.0,1.0,1,1,203,1,2,11
6324,4,2020-06-09 12:00:00,720.576,32.7,2.9,40.0,0.0,1.0,1,1,204,1,2,12
6325,4,2020-06-09 13:00:00,942.624,33.5,1.3,37.0,0.0,1.0,1,1,205,1,2,13
6326,4,2020-06-09 14:00:00,831.6,34.7,2.0,33.0,0.0,1.0,1,1,206,1,2,14
6327,4,2020-06-09 15:00:00,890.784,35.6,1.1,28.0,0.0,1.0,1,1,207,1,2,15
6328,4,2020-06-09 16:00:00,930.528,36.3,1.7,26.0,0.0,1.0,1,1,208,1,2,16
6329,4,2020-06-09 17:00:00,879.9839999999998,35.5,3.0,27.0,0.0,1.0,1,1,209,1,2,17
6330,4,2020-06-09 18:00:00,495.504,33.8,3.5,30.0,0.0,1.0,1,1,210,1,2,18
6331,4,2020-06-09 19:00:00,428.976,32.6,2.0,34.0,0.0,1.0,1,1,211,1,2,19
6332,4,2020-06-09 20:00:00,457.056,30.7,2.0,39.0,0.0,0.1,1,1,212,1,2,20
6333,4,2020-06-09 21:00:00,422.064,29.3,1.5,45.0,0.0,0.0,1,1,213,1,2,21
6334,4,2020-06-09 22:00:00,337.824,28.1,1.4,49.0,0.0,0.0,1,1,214,1,2,22
6335,4,2020-06-09 23:00:00,459.648,27.3,1.0,53.0,0.0,0.0,1,1,215,1,2,23
6336,4,2020-06-10 00:00:00,393.984,25.9,0.5,60.0,0.0,0.0,1,1,216,1,3,0
6337,4,2020-06-10 01:00:00,373.2480000000001,25.3,0.2,62.0,0.0,0.0,1,1,217,1,3,1
6338,4,2020-06-10 02:00:00,341.712,24.0,0.8,66.0,0.0,0.0,1,1,218,1,3,2
6339,4,2020-06-10 03:00:00,338.6880000000001,23.4,1.3,67.0,0.0,0.0,1,1,219,1,3,3
6340,4,2020-06-10 04:00:00,192.24,22.6,0.3,72.0,0.0,0.0,1,1,220,1,3,4
6341,4,2020-06-10 05:00:00,199.152,21.6,1.2,75.0,0.0,0.0,1,1,221,1,3,5
6342,4,2020-06-10 06:00:00,167.616,21.7,1.8,75.0,0.0,0.2,1,1,222,1,3,6
6343,4,2020-06-10 07:00:00,138.24,22.9,2.4,69.0,0.0,1.0,1,1,223,1,3,7
6344,4,2020-06-10 08:00:00,361.584,26.0,1.0,59.0,0.0,1.0,1,1,224,1,3,8
6345,4,2020-06-10 09:00:00,608.256,27.8,1.7,55.0,0.0,1.0,1,1,225,1,3,9
6346,4,2020-06-10 10:00:00,716.2560000000002,29.8,1.9,48.0,0.0,1.0,1,1,226,1,3,10
6347,4,2020-06-10 11:00:00,784.08,31.0,1.7,43.0,0.0,1.0,1,1,227,1,3,11
6348,4,2020-06-10 12:00:00,675.648,32.4,1.8,36.0,0.0,0.9,1,1,228,1,3,12
6349,4,2020-06-10 13:00:00,1002.24,33.1,2.6,39.0,0.0,0.8,1,1,229,1,3,13
6350,4,2020-06-10 14:00:00,1020.384,33.4,1.8,38.0,0.0,0.8,1,1,230,1,3,14
6351,4,2020-06-10 15:00:00,976.752,35.3,2.6,36.0,0.0,0.4,1,1,231,1,3,15
6352,4,2020-06-10 16:00:00,1045.008,34.7,2.8,35.0,0.0,1.0,1,1,232,1,3,16
6353,4,2020-06-10 17:00:00,1065.744,33.6,3.9,39.0,0.0,0.8,1,1,233,1,3,17
6354,4,2020-06-10 18:00:00,961.2,31.0,2.7,45.0,0.0,0.5,1,1,234,1,3,18
6355,4,2020-06-10 19:00:00,669.6,29.6,2.5,49.0,0.0,0.0,1,1,235,1,3,19
6356,4,2020-06-10 20:00:00,590.976,28.8,1.7,50.0,0.0,0.0,1,1,236,1,3,20
6357,4,2020-06-10 21:00:00,514.08,28.5,2.0,51.0,0.0,0.0,1,1,237,1,3,21
6358,4,2020-06-10 22:00:00,292.896,26.6,3.5,63.0,0.0,0.0,1,1,238,1,3,22
6359,4,2020-06-10 23:00:00,397.872,24.7,1.5,74.0,0.1,0.0,1,1,239,1,3,23
6360,4,2020-06-11 00:00:00,366.768,24.4,1.4,73.0,0.0,0.0,1,1,240,1,4,0
6361,4,2020-06-11 01:00:00,354.672,23.0,2.2,86.0,0.4,0.0,1,1,241,1,4,1
6362,4,2020-06-11 02:00:00,348.624,22.5,2.4,88.0,0.1,0.0,1,1,242,1,4,2
6363,4,2020-06-11 03:00:00,335.232,20.8,1.7,100.0,20.5,0.0,1,1,243,1,4,3
6364,4,2020-06-11 04:00:00,208.656,20.9,1.5,100.0,7.5,0.0,1,1,244,1,4,4
6365,4,2020-06-11 05:00:00,215.568,21.1,1.5,100.0,0.5,0.0,1,1,245,1,4,5
6366,4,2020-06-11 06:00:00,223.776,21.3,1.4,100.0,0.0,0.0,1,1,246,1,4,6
6367,4,2020-06-11 07:00:00,278.208,21.5,0.8,100.0,0.0,0.0,1,1,247,1,4,7
6368,4,2020-06-11 08:00:00,571.104,21.9,0.9,100.0,0.0,0.0,1,1,248,1,4,8
6369,4,2020-06-11 09:00:00,791.424,22.0,0.7,97.0,0.0,0.0,1,1,249,1,4,9
6370,4,2020-06-11 10:00:00,823.3919999999998,23.8,1.0,88.0,0.0,0.0,1,1,250,1,4,10
6371,4,2020-06-11 11:00:00,851.04,24.6,1.2,84.0,0.0,0.3,1,1,251,1,4,11
6372,4,2020-06-11 12:00:00,1058.832,26.2,1.6,73.0,0.0,0.4,1,1,252,1,4,12
6373,4,2020-06-11 13:00:00,972.0,29.2,1.7,61.0,0.0,0.8,1,1,253,1,4,13
